INTL_20180123_000066	Hunter's Buff - 1	가문의 영광 1단계				
INTL_20180123_000067	+20% EXP from hunting monsters	몬스터 처치 시 획득 경험치 +20%				
INTL_20180123_000068	Hunter's Buff - 2	가문의 영광 2단계				
INTL_20180123_000069	+40% EXP from hunting monsters	몬스터 처치 시 획득 경험치 +40%				
INTL_20180123_000070	Hunter's Buff - 3	가문의 영광 3단계				
INTL_20180123_000071	+60% EXP from hunting monsters	몬스터 처치 시 획득 경험치 +60%				
INTL_20180123_000072	Hunter's Buff - 4	가문의 영광 4단계				
INTL_20180123_000073	+80% EXP from hunting monsters	몬스터 처치 시 획득 경험치 +80%				
INTL_20180123_000074	Hunter's Buff - 5	가문의 영광 5단계				
INTL_20180202_000075	Box of Chocolates	소녀의 마음				
INTL_20180202_000076	A lovely box of handmade chocolates for Valentine's Day. Use to apply +50% EXP gains for 1 hour.	달달한 맛으로, 뇌의 회전을 도와주는 초콜릿입니다. 사용 시, 1시간동안 경험치 획득량 +50% 효과를 얻습니다.				
INTL_20180214_000077	Last Winter Buff	마지막 겨울 버프				
INTL_20180214_000078	+30% EXP from hunting monsters	몬스터 처치 시 획득 경험치 +30%				
INTL_20180214_000079	Winter Key	겨울 열쇠				
INTL_20180214_000080	Use it to open the Vault in Klaipeda.{nl}(Will be deleted at the end of the event.)	마지막 겨울 이벤트에서 사용되는 열쇠입니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180214_000081	Icicle (14 Days)	고드름(14일)				
INTL_20180214_000082	Melt it by the fire and see what's inside!{nl}(Will be deleted at the end of the event.)	고드름을 녹이면 무엇이 들어있을까요?{nl}(고드름은 장작 주위에서만 사용 가능합니다.)				
INTL_20180214_000083	Collect 10 Winter Keys to obtain the new Winter Penguin companion!	Winter Key 10개를 모으시면 "윈터펭" 을 드립니다.{nl}(Winter Key는 2월 20일 이벤트에서 획득할 수 있습니다.)				금고
INTL_20180214_000084	The Last Winter event is now open.{nl}Don't miss out on the new Winter Penguin companion and many more!	마지막 겨울 이벤트가 진행 중입니다.{nl}마지막 겨울 선물과 버프는 물론, 신규 컴패니언 윈터펭도 만나보세요.				이벤트 알림판
INTL_20180214_000085	Collect 10 Winter Keys to obtain the Winter Penguin companion.{nl}(Receive the Keys from the Event Notice Board every day.)	Winter Key 10개를 모으시면 "윈터펭" 을 드립니다.{nl}(이벤트 알림판에서 마지막 겨울 선물을 받으세요.)				금고
INTL_20180214_000086	You can keep receiving more rewards every day using the Winter Keys!{nl}Every Key you use to open the Vault gives you a new reward.	Winter Key로 추가 보상을 받을 수 있습니다.{nl}(Winter Key 1개당 1회의 추가 보상이 주어집니다.)				금고
INTL_20180214_000087	You are already using this buff.	이미 버프가 존재합니다.				이벤트 알림판
INTL_20180214_000088	It's too soon, come back later.	너무 이릅니다.				이벤트 알림판
INTL_20180214_000089	Last Winter	마지막 겨울 이벤트				
INTL_20180214_000090	Receive Last Winter Buff	마지막 겨울 버프 받기				
INTL_20180214_000091	Receive Last Winter Gift	마지막 겨울 선물 받기				
INTL_20180214_000092	Weekend EXP Helper	주말 경험치 지원				
INTL_20180219_000093	Demon Prison Guild (Recommended Lv : 115){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	염원의 비석로 (권장 레벨:180)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20180219_000094	Fallen Legwyn Family (Recommended Lv : 230){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	쇠락한 르귄가문의 저택 (권장 레벨:230)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20180219_000095	Castle Underground (Recommended Lv : 300){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	캐슬 지하 (권장 레벨:300)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20180219_000096	EXP Helper	성장 지원 도우미	INTL_20180214_000092	Weekend EXP Helper	주말 경험치 지원	
